root_id,primary_type,additional_type(s)
720575940629270487,ORN_D,
720575940625946430,ORN_D,
720575940610124868,ORN_D,
720575940629965788,ORN_D,
720575940633024924,ORN_D,
720575940616377942,ORN_D,
720575940642936520,ORN_D,
720575940620224677,ORN_D,
720575940646514740,ORN_D,
720575940619791019,ORN_D,
720575940619210375,ORN_D,
720575940623981576,ORN_D,
720575940638872629,ORN_D,
720575940623265258,ORN_D,
720575940619169985,ORN_D,
720575940644512791,ORN_D,
720575940638475573,ORN_D,
720575940645431075,ORN_D,
720575940627528964,ORN_D,
720575940625337546,ORN_D,
720575940630738171,ORN_D,
720575940658539905,ORN_D,
720575940631931183,ORN_D,
720575940616311513,ORN_D,
720575940619891041,ORN_D,
720575940622604749,ORN_D,
720575940617695572,ORN_D,
720575940630284306,ORN_D,
720575940654500257,ORN_D,
720575940637013726,ORN_D,
720575940637087039,ORN_D,
720575940620538806,ORN_DA1,
720575940630838570,ORN_DA1,
720575940634995960,ORN_DA1,
720575940629336770,ORN_DA1,
720575940623747086,ORN_DA1,
720575940630996072,ORN_DA1,
720575940618080566,ORN_DA1,
720575940634538080,ORN_DA1,
720575940631229800,ORN_DA1,
720575940625162168,ORN_DA1,
720575940609040835,ORN_DA1,
720575940615708466,ORN_DA1,
720575940615711093,ORN_DA1,
720575940621098879,ORN_DA1,
720575940634702431,ORN_DA1,
720575940629511383,ORN_DA1,
720575940631012664,ORN_DA1,
720575940626585481,ORN_DA1,
720575940622682409,ORN_DA1,
720575940638807485,ORN_DA1,
720575940629471682,ORN_DA1,
720575940639625286,ORN_DA1,
720575940632175407,ORN_DA1,
720575940625825538,ORN_DA1,
720575940630062587,ORN_DA1,
720575940635706219,ORN_DA1,
720575940635708267,ORN_DA1,
720575940630339525,ORN_DA1,
720575940630368965,ORN_DA1,
720575940614982654,ORN_DA1,
720575940630428227,ORN_DA1,
720575940630461994,ORN_DA1,
720575940620101614,ORN_DA1,
720575940636165743,ORN_DA1,
720575940623137930,ORN_DA1,
720575940620096097,ORN_DA1,
720575940618937649,ORN_DA1,
720575940630442745,ORN_DA1,
720575940637255743,ORN_DA1,
720575940623122685,ORN_DA1,
720575940626031132,ORN_DA1,
720575940625399600,ORN_DA1,
720575940623358954,ORN_DA1,
720575940618236283,ORN_DA1,
720575940626606223,ORN_DA1,
720575940623317261,ORN_DA1,
720575940610412386,ORN_DA1,
720575940638216420,ORN_DA1,
720575940626269468,ORN_DA1,
720575940618533403,ORN_DA1,
720575940623037283,ORN_DA1,
720575940638099940,ORN_DA1,
720575940626122535,ORN_DA1,
720575940629963116,ORN_DA1,
720575940623080132,ORN_DA1,
720575940626047536,ORN_DA1,
720575940629847678,ORN_DA1,
720575940614569414,ORN_DA1,
720575940611357938,ORN_DA1,
720575940629182402,ORN_DA1,
720575940605686886,ORN_DA1,
720575940620929519,ORN_DA1,
720575940621335841,ORN_DA1,
720575940646583172,ORN_DA1,
720575940621368685,ORN_DA1,
720575940631629866,ORN_DA1,
720575940631907143,ORN_DA1,
720575940617333275,ORN_DA1,
720575940606167142,ORN_DA1,
720575940606227890,ORN_DA1,
720575940628251947,ORN_DA1,
720575940629266767,ORN_DA1,
720575940616670242,ORN_DA1,
720575940621540446,ORN_DA1,
720575940606165606,ORN_DA1,
720575940627777265,ORN_DA1,
720575940627636476,ORN_DA1,
720575940627048018,ORN_DA1,
720575940619528789,ORN_DA1,
720575940627332885,ORN_DA1,
720575940619498887,ORN_DA1,
720575940631997068,ORN_DA1,
720575940624432103,ORN_DA1,
720575940658814849,ORN_DA1,
720575940619591872,ORN_DA1,
720575940624211640,ORN_DA1,
720575940654849697,ORN_DA1,
720575940654436769,ORN_DA1,
720575940632679379,ORN_DA1,
720575940616934361,ORN_DA1,
720575940632765388,ORN_DA1,
720575940627465288,ORN_DA1,
720575940621263457,ORN_DA1,
720575940626928388,ORN_DA1,
720575940628281860,ORN_DA1,
720575940613797398,ORN_DA1,
720575940606922674,ORN_DA1,
720575940620687425,ORN_DA1,
720575940631406673,ORN_DA1,
720575940631350743,ORN_DA1,
720575940626692485,ORN_DA1,
720575940619873472,ORN_DA1,
720575940628909623,ORN_DA1,
720575940644683031,ORN_DA1,
720575940608044501,ORN_DA1,
720575940622198664,ORN_DA1,
720575940619340446,ORN_DA1,
720575940614037910,ORN_DA1,
720575940614586690,ORN_DA1,
720575940622383338,ORN_DA1,
720575940608283147,ORN_DA1,
720575940623797321,ORN_DA1,
720575940633512800,ORN_DA1,
720575940617626781,ORN_DA1,
720575940644191012,ORN_DA1,
720575940623927956,ORN_DA1,
720575940606949042,ORN_DA1,
720575940626869013,ORN_DA1,
720575940623870389,ORN_DA1,
720575940628314217,ORN_DA1,
720575940617486081,ORN_DA1,
720575940616526292,ORN_DA1,
720575940644542574,ORN_DA1,
720575940644530030,ORN_DA1,
720575940607090306,ORN_DA1,
720575940631468335,ORN_DA1,
720575940659996033,ORN_DA1,
720575940620055905,ORN_DA2,
720575940632041043,ORN_DA2,
720575940613671330,ORN_DA2,
720575940634955188,ORN_DA2,
720575940624211470,ORN_DA2,
720575940611437973,ORN_DA2,
720575940612972328,ORN_DA2,
720575940633031085,ORN_DA2,
720575940635705963,ORN_DA2,
720575940612019442,ORN_DA2,
